2026-01-02,LCBO/RAO #432     _F,16,,127.84
2026-01-02,SEND E-TFR ***aCd,30,,97.84
2026-01-02,ENDZIN 2022 LIM   _V,10,,87.84
2026-01-05,ENDZIN 2022 LIM   _V,10,,77.84
2026-01-05,ENDZIN 2022 LIM   _V,,44,121.84
2026-01-05,ENDZIN 2022 LIM   _V,50,,71.84
2026-01-05,ENDZIN 2022 LIM   _V,10,,61.84
2026-01-05,ENDZIN 2022 LIM   _V,,50,111.84
2026-01-05,E-TRANSFER ***ZF8,,15,126.84
2026-01-05,ENDZIN 2022 LIM   _V,12,,114.84
2026-01-05,E-TRANSFER ***WED,,60,174.84
2026-01-05,UBER CANADA/UBE   _V,30.96,,143.88
2026-01-05,ENDZIN 2022 LIM   _V,15,,128.88
2026-01-05,ENDZIN 2022 LIM   _V,18,,110.88
2026-01-05,ENDZIN 2022 LIM   _V,15,,95.88
2026-01-05,ENDZIN 2022 LIM   _V,15,,80.88
2026-01-05,ENDZIN 2022 LIM   _V,15,,65.88
2026-01-05,ENDZIN 2022 LIM   _V,30,,35.88
2026-01-05,ENDZIN 2022 LIM   _V,30,,5.88
2026-01-05,LQ110 TFR-FR C/C,,150,155.88
2026-01-05,ENDZIN 2022 LIM   _V,50,,105.88
2026-01-05,ENDZIN 2022 LIM   _V,,50,155.88
2026-01-05,UBER CANADA/UBE   _V,30.02,,125.86
2026-01-05,UBER CANADA/UBE   _V,30.05,,95.81
2026-01-05,UBER CANADA/UBE   _V,,30.02,125.83
2026-01-06,UBER CANADA/UBE   _V,26.95,,98.88
2026-01-06,TSI INTERNET      _V,,22.81,121.69
2026-01-06,KELSEY'S #7122    _F,22.08,,99.61
2026-01-06,ENDZIN 2022 LIM   _V,30,,69.61
2026-01-06,Ilixium Betway    _V,20,,49.61
2026-01-06,FanDuel Canada    _V,,10,59.61
2026-01-06,ENDZIN 2022 LIM   _V,,20,79.61
2026-01-06,STEAMGAMES   25.00_V,25,,54.61
2026-01-07,UBER CANADA/UBE   _V,29.17,,25.44
2026-01-07,ENDZIN 2022 LIM   _V,,19.1,44.54
